PLZ;Kanton;Gemeinden
1284;Genf;Chancy
1285;Genf;Avusy
1286;Genf;Soral
1287;Genf;Laconnex
1288;Genf;Aire-la-Ville
1290;Waadt;Chavannes-des-Bois, Versoix
1291;Waadt;Commugny
1292;Genf;Pregny-Chambésy
1293;Genf;Bellevue
1294;Genf;Genthod
1295;Waadt;Mies, Tannay
1296;Waadt;Coppet
1297;Waadt;Founex
1298;Genf;Céligny
1299;Waadt;Crans-prčs-Céligny
1302;Waadt;Vufflens-la-Ville
1303;Waadt;Penthaz
1304;Waadt;Cossonay, Dizy, Senarclens
1305;Waadt;Penthalaz
1306;Waadt;Daillens
1307;Waadt;Lussery-Villars
1308;Waadt;La Chaux (Cossonay)
1312;Waadt;Eclépens
1313;Waadt;Ferreyres
1315;Waadt;La Sarraz
1316;Waadt;Chevilly
1317;Waadt;Orny
1318;Waadt;Pompaples
1321;Waadt;Arnex-sur-Orbe
1322;Waadt;Croy
1323;Waadt;Romainmôtier-Envy
1324;Waadt;Premier
1325;Waadt;Vaulion
1326;Waadt;Juriens
1329;Waadt;Bretonničres
1337;Waadt;Vallorbe
1338;Waadt;Ballaigues
1341;Waadt;Le Chenit
1342;Waadt;L'Abbaye
1343;Waadt;Le Lieu
1344;Waadt;L'Abbaye
1345;Waadt;Le Lieu
1346;Waadt;L'Abbaye
1347;Waadt;Le Chenit
1348;Waadt;Le Chenit
1350;Waadt;Orbe
1352;Waadt;Agiez
1353;Waadt;Bofflens
1354;Waadt;Montcherand
1355;Waadt;L'Abergement, Sergey
1356;Waadt;Les Clées
1357;Waadt;Lignerolle
1358;Waadt;Valeyres-sous-Rances
1372;Waadt;Bavois
1373;Waadt;Chavornay
1374;Waadt;Corcelles-sur-Chavornay
1375;Waadt;Penthéréaz
1376;Waadt;Goumoëns
1377;Waadt;Oulens-sous-Echallens
1400;Waadt;Cheseaux-Noréaz, Yverdon-les-Bains
1404;Waadt;Cuarny, Villars-Epeney
1405;Waadt;Pomy
1406;Waadt;Cronay
1407;Waadt;Bioley-Magnoux, Donneloye
1408;Waadt;Donneloye
1409;Waadt;Montanaire
1410;Waadt;Montanaire, Prévondavaux
1412;Waadt;Ursins, Valeyres-sous-Ursins
1413;Waadt;Orzens
1415;Waadt;Démoret, Molondin
1416;Waadt;Pailly
1417;Waadt;Essertines-sur-Yverdon
1418;Waadt;Vuarrens
1420;Waadt;Fiez
1421;Waadt;Fontaines-sur-Grandson, Grandevent
1422;Waadt;Grandson
1423;Waadt;Tévenon
1424;Waadt;Champagne
1425;Waadt;Onnens (VD)
1426;Waadt;Concise, Corcelles-prčs-Concise
1427;Waadt;Bonvillars
1428;Waadt;Mutrux, Provence
1429;Waadt;Giez
1430;Waadt;Orges
1431;Waadt;Novalles, Vugelles-La Mothe
1432;Waadt;Belmont-sur-Yverdon, Yverdon-les-Bains
1433;Waadt;Suchy
1434;Waadt;Ependes (VD)
1435;Waadt;Essert-Pittet
1436;Waadt;Chamblon, Treycovagnes
1437;Waadt;Suscévaz
1438;Waadt;Mathod
1439;Waadt;Rances
1441;Waadt;Valeyres-sous-Montagny
1442;Waadt;Montagny-prčs-Yverdon
1443;Waadt;Champvent
1445;Waadt;Vuiteboeuf
1446;Waadt;Baulmes
1450;Waadt;Sainte-Croix
1452;Waadt;Bullet
1453;Waadt;Bullet, Mauborget
1454;Waadt;Sainte-Croix
1462;Waadt;Yvonand
1463;Waadt;Rovray
1464;Waadt;Chavannes-le-Chęne, Chęne-Pâquier
1468;Freiburg;Cheyres
1470;Freiburg;Lully (FR), Estavayer-le-Lac
1473;Freiburg;Châtillon (FR), Estavayer-le-Lac
1474;Freiburg;Châbles
1475;Freiburg;Vernay
1482;Freiburg;Cugy (FR)
1483;Freiburg;Les Montets, Cugy (FR)
1484;Freiburg;Les Montets
1485;Freiburg;Nuvilly
1486;Freiburg;Vuissens
1489;Freiburg;Murist
1509;Waadt;Vucherens
1510;Waadt;Moudon, Syens
1512;Waadt;Chavannes-sur-Moudon
1513;Waadt;Hermenches, Rossenges
1514;Waadt;Bussy-sur-Moudon
1515;Waadt;Montanaire, Villars-le-Comte
1521;Waadt;Curtilles
1522;Waadt;Lucens
1523;Waadt;Valbroye
1524;Waadt;Valbroye
1525;Waadt;Henniez, Valbroye
1526;Waadt;Cremin, Forel-sur-Lucens
1527;Freiburg;Villeneuve (FR)
1528;Freiburg;Surpierre
1529;Freiburg;Cheiry
1530;Waadt;Payerne
1532;Freiburg;Fétigny
1533;Freiburg;Méničres
1534;Freiburg;Cheiry, Valbroye
1535;Waadt;Valbroye
1536;Waadt;Valbroye
1537;Waadt;Champtauroz
1538;Waadt;Treytorrens (Payerne)
1541;Freiburg;Bussy (FR), Morens (FR), Sévaz
1542;Freiburg;Rueyres-les-Prés
1543;Waadt;Grandcour
1544;Freiburg;Gletterens
1545;Waadt;Chevroux
1551;Waadt;Payerne
1552;Waadt;Trey
1553;Freiburg;Châtonnaye
1554;Waadt;Villarzel
1555;Waadt;Villarzel
1562;Waadt;Corcelles-prčs-Payerne
1563;Freiburg;Belmont-Broye
1564;Freiburg;Belmont-Broye
1565;Waadt;Missy, Vallon
1566;Freiburg;Saint-Aubin (FR)
1567;Freiburg;Delley-Portalban
1568;Freiburg;Delley-Portalban
1580;Waadt;Avenches
1583;Freiburg;Villarepos
1584;Waadt;Vully-les-Lacs
1585;Waadt;Vully-les-Lacs
1586;Waadt;Vully-les-Lacs
1587;Waadt;Vully-les-Lacs
1588;Waadt;Cudrefin
1589;Waadt;Vully-les-Lacs
1595;Bern;Clavaleyres, Faoug
1607;Waadt;Oron
1608;Waadt;Oron, Chapelle (Glâne)
1609;Freiburg;Saint-Martin (FR)
1610;Waadt;Oron
1611;Freiburg;La Verrerie
1612;Waadt;Oron
1613;Waadt;Maracon
1614;Freiburg;Granges (Veveyse)
1615;Freiburg;Bossonnens
1616;Freiburg;Attalens
1617;Freiburg;Remaufens, Attalens
1618;Freiburg;Châtel-Saint-Denis
1619;Freiburg;Châtel-Saint-Denis
1623;Freiburg;Semsales
1624;Freiburg;La Verrerie, Semsales
1625;Freiburg;Sâles
1626;Freiburg;Sâles
1627;Freiburg;Vaulruz
1628;Freiburg;Vuadens
1630;Freiburg;Bulle
1632;Freiburg;Riaz
1633;Freiburg;Marsens
1634;Freiburg;La Roche
1635;Freiburg;Bulle
1636;Freiburg;Broc
1637;Freiburg;Val-de-Charmey
1638;Freiburg;Morlon
1642;Freiburg;Sorens
1643;Freiburg;Pont-en-Ogoz
1644;Freiburg;Pont-en-Ogoz
1645;Freiburg;Pont-en-Ogoz
1646;Freiburg;Echarlens
1647;Freiburg;Corbičres
1648;Freiburg;Hauteville
1649;Freiburg;Pont-la-Ville
1651;Freiburg;Corbičres
1652;Freiburg;Botterens
1653;Freiburg;Châtel-sur-Montsalvens, Crésuz
1654;Freiburg;Val-de-Charmey
1656;Freiburg;Jaun
1657;Bern;Saanen
1658;Waadt;Rossiničre
1659;Waadt;Rougemont
1660;Waadt;Château-d'Oex
1661;Freiburg;Le Pâquier (FR)
1663;Freiburg;Gruyčres
1665;Freiburg;Bas-Intyamon
1666;Freiburg;Grandvillard, Bas-Intyamon
1667;Freiburg;Bas-Intyamon
1669;Freiburg;Haut-Intyamon
1670;Freiburg;Ursy
1673;Freiburg;Auboranges, Ecublens (FR), Rue
1674;Freiburg;Montet (Glâne), Ursy
1675;Freiburg;Rue, Ursy
1676;Freiburg;Siviriez
1677;Freiburg;Siviriez
1678;Freiburg;Siviriez
1679;Freiburg;Siviriez
1680;Freiburg;Mézičres (FR), Romont (FR)
1681;Freiburg;Billens-Hennens
1682;Waadt;Valbroye, Dompierre (VD), Lovatens, Prévonloup
1683;Waadt;Brenles, Chesalles-sur-Moudon, Sarzens
1684;Freiburg;Mézičres (FR)
1685;Freiburg;Vuisternens-devant-Romont
1686;Freiburg;Grangettes, Vuisternens-devant-Romont
1687;Freiburg;Vuisternens-devant-Romont
1688;Freiburg;Vuisternens-devant-Romont
1689;Freiburg;Le Châtelard
1690;Freiburg;La Folliaz, Villaz-Saint-Pierre
1691;Freiburg;La Folliaz
1692;Freiburg;Massonnens
1694;Freiburg;Villorsonnens
1695;Freiburg;Gibloux
1696;Freiburg;Gibloux
1697;Freiburg;Vuisternens-devant-Romont
1699;Freiburg;Le Flon
1700;Freiburg;Fribourg
1712;Freiburg;Tafers
1713;Freiburg;St. Antoni
1714;Freiburg;Heitenried
1715;Freiburg;Alterswil
1716;Freiburg;Oberschrot, Plaffeien
1717;Freiburg;St. Ursen
1718;Freiburg;Rechthalten
1719;Freiburg;Brünisried, Zumholz
1720;Freiburg;Chésopelloz, Corminboeuf
1721;Freiburg;Misery-Courtion
1722;Freiburg;Fribourg
1723;Freiburg;Marly, Pierrafortscha, Villarsel-sur-Marly
1724;Freiburg;Le Mouret, Ferpicloz, Senčdes
1725;Freiburg;Hauterive (FR)
1726;Freiburg;Gibloux
